feature,shap_importance
APR Severity of Illness Code,0.21485818302013984
Age Group,0.07274727712278785
APR Severity of Illness Description,0.03625777903707513
CCS Diagnosis Code,0.0016457129822758407
APR MDC Code,7.48717449563401e-05
Health Service Area,0.0
Payment Typology 1,0.0
APR MDC Description,0.0
APR Medical Surgical Description,0.0
Payment Typology 2,0.0
APR DRG Code,0.0
Payment Typology 3,0.0
Birth Weight,0.0
Abortion Edit Indicator,0.0
Emergency Department Indicator,0.0
Total Charges,0.0
APR DRG Description,0.0
CCS Procedure Description,0.0
Hospital County,0.0
CCS Procedure Code,0.0
CCS Diagnosis Description,0.0
Patient Disposition,0.0
Type of Admission,0.0
Length of Stay,0.0
Ethnicity,0.0
Race,0.0
Gender,0.0
Zip Code - 3 digits,0.0
Facility Name,0.0
Facility Id,0.0
Operating Certificate Number,0.0
Total Costs,0.0
