feature,mean_importance
Operating Certificate Number,-0.0009316136185881174
Length of Stay,-0.0008431223482307348
Zip Code - 3 digits,-0.0005498621222445766
APR Medical Surgical Description,-0.00023273363965500282
APR MDC Description,-0.00017341994318476606
Race,-7.532883325653828e-05
Facility Id,-4.953688154525904e-05
APR Severity of Illness Description,-2.927575409144012e-05
Payment Typology 2,-1.887956033447824e-05
Health Service Area,-1.646693211631578e-05
Abortion Edit Indicator,0.0
Ethnicity,2.7098376289175218e-05
Payment Typology 3,4.4915298566422514e-05
Gender,4.680329791705296e-05
Birth Weight,7.94665186406085e-05
APR MDC Code,0.00011032828097340964
Payment Typology 1,0.00032493339634622197
Hospital County,0.00038885266753808657
Type of Admission,0.0004674662526876816
Facility Name,0.0005430745615589039
Total Costs,0.0005662298441837466
Emergency Department Indicator,0.0006316030019753616
APR DRG Description,0.0006793490196612906
CCS Diagnosis Description,0.0007286586363920821
APR DRG Code,0.000980328197461694
CCS Procedure Description,0.001310620756125569
CCS Procedure Code,0.0031965413573471825
Total Charges,0.0046688885395656295
Patient Disposition,0.008722687813960222
CCS Diagnosis Code,0.01044730706495437
Age Group,0.06246805102955867
APR Severity of Illness Code,0.4709334225406784
