feature,shap_importance
APR Severity of Illness Code,0.13020017769521883
APR Severity of Illness Description,0.09193529731791569
Age Group,0.0720952449621029
CCS Diagnosis Code,0.011078104666358926
Patient Disposition,0.0023207285155016325
Payment Typology 1,0.0023127962180742316
APR MDC Description,0.0013978335839766852
Total Charges,0.0005958224558959028
Type of Admission,0.0004551473200615181
Emergency Department Indicator,0.0003788685304568002
CCS Procedure Code,0.0003762761433867677
APR DRG Code,0.0003268753014126812
Total Costs,0.0002897204600473517
Length of Stay,0.0001940278358453969
CCS Diagnosis Description,0.00014203757129629488
Zip Code - 3 digits,0.00012118695843197124
Facility Name,8.831742327109615e-05
APR DRG Description,8.47478504155468e-05
CCS Procedure Description,7.876165116225488e-05
Birth Weight,7.595552862345133e-05
Facility Id,6.924307668895692e-05
APR Medical Surgical Description,5.3447057907535224e-05
Ethnicity,3.9783296093354515e-05
Operating Certificate Number,3.445722244828793e-05
Payment Typology 2,3.1004447206977284e-05
Hospital County,1.5035507713152196e-05
APR MDC Code,1.4656139969325652e-05
Race,0.0
Gender,0.0
Payment Typology 3,0.0
Abortion Edit Indicator,0.0
Health Service Area,0.0
