feature,mean_importance
Gender,-1.1102230246251566e-17
Health Service Area,-5.551115123125783e-18
APR DRG Description,-5.551115123125783e-18
Patient Disposition,-5.551115123125783e-18
CCS Procedure Code,-5.551115123125783e-18
Abortion Edit Indicator,0.0
Race,0.0
mortality_sparcs,5.551115123125783e-18
APR MDC Description,5.551115123125783e-18
Ethnicity,1.1102230246251566e-17
Payment Typology 3,1.1102230246251566e-17
Type of Admission,1.1102230246251566e-17
Payment Typology 2,1.1102230246251566e-17
CCS Diagnosis Description,1.1102230246251566e-17
CCS Procedure Description,1.1102230246251566e-17
APR MDC Code,1.1102230246251566e-17
Emergency Department Indicator,1.6653345369377347e-17
Payment Typology 1,1.6653345369377347e-17
Facility Name,5.763395670266292e-07
Age Group,2.6545032164815297e-06
CCS Diagnosis Code,4.36140041764621e-06
APR Severity of Illness Description,7.231958318951737e-05
APR DRG Code,0.00012867237034145385
Facility Id,0.00015889694987838987
Operating Certificate Number,0.00018790574439598863
APR Medical Surgical Description,0.0005689792923295022
APR Severity of Illness Code,0.0007110963757793909
Hospital County,0.0007247988853246956
Length of Stay,0.004718379972854664
Zip Code - 3 digits,0.004785084863457123
Birth Weight,0.03029413481366467
Total Charges,1.4276538305413662
